,date,name,DisplayUnit,mrp
247,2020-05-16 12:05:28,Mummys - Daily Basmati Rice,1kg,3.9
248,2020-05-16 12:05:28,Day'O' Blue White Rice,5kg,7.5
249,2020-05-16 12:05:28,FairPrice Sauce Mix - Chicken Rice,180g,2.8
250,2020-05-16 12:05:28,Diamond G Brown Rice,0.91kg,3.75
251,2020-05-16 12:05:28,Pasar Thailand Spring Onion,100g,1.5
252,2020-05-16 12:05:28,Tiparos Thai Fish Sauce,700ml,1.6
253,2020-05-16 12:05:28,Lal Qilla Basmati Rice,1KG,5.0
254,2020-05-16 12:05:28,XinYu Rice Yam flavour Brown Rice,2kg,10.9
255,2020-05-16 12:05:28,Yes Natural Organic Brown Rice Ring - Original ,40g,2.3
256,2020-05-16 12:05:28,Real Foods Rice Thin - Wholegrain,150g,3.65
257,2020-05-16 12:05:28,Pasar Fresh Eggs,550g (10 per pack),2.05
258,2020-05-16 12:05:28,24 Mantra Organic - Sonamasuri Rice,1kg,4.7
259,2020-05-16 12:05:28,Golden Elephant Finest Glutionous Rice Flour ,500g,1.45
260,2020-05-16 12:05:28,Prima Taste Paste - Fragrant Hainanese Chicken Rice ,80g,1.95
261,2020-05-16 12:05:28,Songhe Noble Brown Rice,1kg,5.3
262,2020-05-16 12:05:28,Shahi Golden Sandal Agarbatti (Incense Sticks),6 x 20 pcs,6.5
263,2020-05-16 12:05:28,Chew's Kampong Chicken Eggs,180g (6 per pack),3.2
264,2020-05-16 12:05:28,24 Mantra Organic Sonamasuri Polished Raw Rice,10KG,42.05
265,2020-05-16 12:05:28,Tai Sun Rice Vermicelli,10 x 400g (CTN),11.9
266,2020-05-16 12:05:28,Ibis Organic Rice - Semi-Milled,500g,4.35
267,2020-05-16 12:05:28,FairPrice Frozen Glutinous Rice Ball - Red Bean,200g (10 per pack),1.85
268,2020-05-16 12:05:28,Chinatown Glutinous Rice Ball - Black Sesame ,300g,2.55
269,2020-05-16 12:05:28,Triple Stars Rice Vermicelli,600g,2.85
270,2020-05-16 12:05:28,N&N Big Fresh Eggs - Lower Cholestrol,650g (10 per pack),3.5
271,2020-05-16 12:05:28,Fantastic Rice Cracker - Teriyaki,100g,2.7
272,2020-05-16 12:05:28,Sakura Brown Rice Noodles - Round Hokkien,400g,1.4
273,2020-05-16 12:05:28,Woongjin Morning Rice Bottle Drink,1.5L,3.9
274,2020-05-16 12:05:28,Tefal Rice Cooker (RK740165),1 per pack,169.0
275,2020-05-16 12:05:28,Knife Brand Rice Bran Oil,2L,9.5
276,2020-05-16 12:05:28,Kooksoondang Traditional Rice Beer - Ssal Makkoli,750ml,7.0
